DOI,Keywords
10.1016/j.jclepro.2016.12.048,circular economy;sustainability;sustainable development;closed loop;literature review;circular business model
10.1016/j.resconrec.2017.09.005,circular economy;4r framework;sustainable development;definitions;content analysis
10.1016/j.jclepro.2015.09.007,circular economy;resource efficiency;reuse;recycling;zero waste;sustainability
10.1016/j.ecolecon.2017.06.041,circular economy;business strategy;scientific research;global net sustainability;thermodynamics;system boundaries;six limitations
10.1021/es070108f,
10.1016/j.jclepro.2015.12.042,circular economy;framework;implementation;resource scarcity;environmental impact;economic benefits
10.1007/s10551-015-2693-2,circular economy;closedloop economy;sustainability;sustainable development
10.1038/531435a,
10.1016/j.jclepro.2013.11.049,pss;integrated service product isp;industrial product service system ips2
10.1016/j.seppur.2016.08.031,recovery;recycling;lithium extraction;separation and purification
10.1038/nmat4777,
10.1039/c6gc02157c,
10.3390/ijerph16061060,environmental contamination;public health;solid waste management;sustainability;open dumping;informal recycling;open burning;sustainable development;hazardous waste;risk assessment
10.1016/j.jclepro.2012.11.020,circular economy;environmental indicators;environmental policy;sustainable development;waste management;china
10.3390/su8010043,business models;circular economy;circular business model;sustainable business model;business model design
10.1016/j.omega.2015.05.015,green supply chain management;circular economy;product lifecycle analysis;environmental sustainability;decision support
10.1016/j.ecolecon.2018.04.028,circular economy;sustainability transitions;sustainable development;barriers;european union
10.1002/anie.201915651,catalysis;chemical recycling;circularity;plastic waste;solvolysis
10.1016/j.resconrec.2017.10.034,circular economy strategy;circular economy implementation;circular economy example;circular economy development;green supply chain;cleaner production;closed loop;recycling;sustainable resource use;stock optimization;value maximization;industrial ecology;cradle to cradle;steadystate economy;performance economy
10.1016/j.resconrec.2017.08.027,circular economy;circularity;closedloop economy;value preservation;literature review
10.1016/j.jclepro.2019.119869,industry 40;smart manufacturing;digitization;sustainability;environmentalism;industrial internet
10.1016/j.jclepro.2013.10.051,food waste;food byproduct;industrial symbiosis;sustainability
10.1080/00207543.2017.1402141,circular economy;drivers;barriers;practices;multiperspective framework;systematic review
10.1016/j.jclepro.2017.12.111,sustainable development;circular economy;scientific research;essentially contested concepts
10.1111/jiec.12732,circular economy;developing countries;industrial ecology;recycling;sdg implementation;sustainable development goals
10.1021/acssuschemeng.7b03505,e factor;atom economy;carbon economy;step economy;circular economy;biobased economy;ethanol equivalent;life cycle assessment
10.1007/s10479-018-2772-8,smart manufacturing;circular economy;digital manufacturing;resolve framework;internet of things;sustainable operations
10.1016/j.jclepro.2017.12.112,circular economy;sustainability;industrial ecology;systematic literature review;circular business model
